Timestamp,Reading,Unit,LDC_Val
2023-12-28 18:19:21.126276,6.08,mm,-1051
2023-12-28 18:19:21.426848,5.88,mm,-1117
2023-12-28 18:19:21.744012,5.80,mm,-1235
2023-12-28 18:19:21.821538,5.62,mm,-1264
2023-12-28 18:19:22.343192,5.52,mm,-1432
2023-12-28 18:19:22.454721,5.33,mm,-1491
2023-12-28 18:19:22.455724,5.26,mm,-1491
2023-12-28 18:19:22.844349,5.12,mm,-1623
2023-12-28 18:19:23.117928,5.00,mm,-1755
2023-12-28 18:19:23.228456,4.88,mm,-1816
2023-12-28 18:19:23.676624,4.77,mm,-1937
2023-12-28 18:19:23.924170,4.67,mm,-2010
2023-12-28 18:19:24.333821,4.64,mm,-2081
2023-12-28 18:19:24.602950,4.60,mm,-2090
2023-12-28 18:19:24.837002,4.53,mm,-2120
2023-12-28 18:19:25.156132,4.52,mm,-2179
2023-12-28 18:19:25.330179,4.52,mm,-2183
2023-12-28 18:19:25.535228,4.48,mm,-2193
2023-12-28 18:19:25.928880,4.43,mm,-2211
2023-12-28 18:19:26.236468,4.45,mm,-2214
2023-12-28 18:19:26.512043,4.45,mm,-2366
2023-12-28 18:19:26.797611,4.44,mm,-2654
2023-12-28 18:19:27.112221,4.44,mm,-3223
2023-12-28 18:19:27.381791,4.37,mm,-3430
2023-12-28 18:19:27.763374,4.21,mm,-3933
2023-12-28 18:19:28.154082,3.99,mm,-4393
2023-12-28 18:19:28.298349,3.77,mm,-4535
2023-12-28 18:19:28.373683,3.68,mm,-4559
2023-12-28 18:19:28.374684,3.56,mm,-4559
2023-12-28 18:19:28.374684,3.40,mm,-4559
2023-12-28 18:19:28.375685,3.30,mm,-4559
2023-12-28 18:19:28.783779,3.23,mm,-4790
2023-12-28 18:19:29.131896,3.21,mm,-5259
2023-12-28 18:19:29.300943,3.12,mm,-5362
2023-12-28 18:19:29.544000,3.02,mm,-5397
2023-12-28 18:19:29.544000,3.02,mm,-5397
2023-12-28 18:19:29.878115,3.01,mm,-5450
2023-12-28 18:19:30.241689,2.99,mm,-5866
2023-12-28 18:19:30.572778,2.97,mm,-6950
2023-12-28 18:19:30.985876,2.79,mm,-7600
2023-12-28 18:19:31.209476,2.64,mm,-8277
2023-12-28 18:19:31.209476,2.55,mm,-8277
2023-12-28 18:19:31.492050,2.45,mm,-9401
2023-12-28 18:19:31.728095,2.36,mm,-10477
2023-12-28 18:19:31.790616,2.14,mm,-10641
2023-12-28 18:19:32.170754,2.04,mm,-11693
2023-12-28 18:19:32.470363,1.96,mm,-12603
2023-12-28 18:19:32.701415,1.89,mm,-13828
2023-12-28 18:19:33.086517,1.80,mm,-14443
2023-12-28 18:19:33.449213,1.67,mm,-15253
2023-12-28 18:19:33.858858,1.65,mm,-16232
2023-12-28 18:19:33.969910,1.63,mm,-16538
2023-12-28 18:19:34.277467,1.57,mm,-17576
2023-12-28 18:19:34.679584,1.43,mm,-19893
2023-12-28 18:19:35.028160,1.34,mm,-21875
2023-12-28 18:19:35.076686,1.23,mm,-22515
2023-12-28 18:19:35.076686,1.11,mm,-22515
2023-12-28 18:19:35.076686,0.99,mm,-22515
2023-12-28 18:19:35.469851,0.88,mm,-25389
2023-12-28 18:19:35.723902,0.76,mm,-27368
2023-12-28 18:19:35.724904,0.62,mm,-27368
2023-12-28 18:19:36.136525,0.59,mm,-27375
2023-12-28 18:19:36.572694,0.56,mm,-27387
2023-12-28 18:19:36.847738,0.56,mm,-27399
2023-12-28 18:19:37.117304,0.56,mm,-27404
2023-12-28 18:19:37.117304,0.57,mm,-27404
2023-12-28 18:19:37.118306,0.57,mm,-27404
2023-12-28 18:19:37.605479,0.57,mm,-27409
2023-12-28 18:19:37.884590,0.58,mm,-27412
2023-12-28 18:19:37.988110,0.58,mm,-27413
2023-12-28 18:19:38.241695,0.58,mm,-27415
2023-12-28 18:19:38.523043,0.58,mm,-27417
2023-12-28 18:19:38.664575,0.58,mm,-27417
