Timestamp,Reading,Unit,LDC_Val_2,LDC_Val_1
2024-01-25 19:44:05.343330,6.82,mm,-621,-607
2024-01-25 19:44:05.484828,6.78,mm,-630,-616
2024-01-25 19:44:05.659909,6.74,mm,-636,-621
2024-01-25 19:44:06.010103,6.72,mm,-646,-632
2024-01-25 19:44:06.293777,6.71,mm,-655,-641
2024-01-25 19:44:06.500805,6.67,mm,-669,-654
2024-01-25 19:44:06.595379,6.65,mm,-669,-654
2024-01-25 19:44:06.800467,6.59,mm,-669,-655
2024-01-25 19:44:07.066737,6.59,mm,-684,-669
2024-01-25 19:44:07.242919,6.55,mm,-687,-672
2024-01-25 19:44:07.722951,6.52,mm,-719,-701
2024-01-25 19:44:07.955062,6.48,mm,-735,-718
2024-01-25 19:44:08.113229,6.41,mm,-741,-724
2024-01-25 19:44:08.460581,6.36,mm,-765,-746
2024-01-25 19:44:08.460581,6.36,mm,-765,-746
2024-01-25 19:44:08.857850,6.28,mm,-813,-793
2024-01-25 19:44:09.081032,6.18,mm,-816,-797
2024-01-25 19:44:09.444316,6.18,mm,-858,-836
2024-01-25 19:44:09.634152,6.08,mm,-880,-857
2024-01-25 19:44:09.758326,6.03,mm,-883,-860
2024-01-25 19:44:10.323048,5.97,mm,-925,-902
2024-01-25 19:44:10.424091,5.92,mm,-958,-933
2024-01-25 19:44:10.661750,5.86,mm,-980,-955
2024-01-25 19:44:11.059419,5.81,mm,-1031,-1004
2024-01-25 19:44:11.186644,5.77,mm,-1032,-1005
2024-01-25 19:44:11.327800,5.69,mm,-1031,-1005
2024-01-25 19:44:11.755283,5.69,mm,-1065,-1037
2024-01-25 19:44:11.882844,5.62,mm,-1083,-1056
2024-01-25 19:44:12.217063,5.59,mm,-1094,-1064
2024-01-25 19:44:12.739571,5.59,mm,-1146,-1115
2024-01-25 19:44:12.787603,5.53,mm,-1146,-1115
2024-01-25 19:44:12.899097,5.49,mm,-1159,-1129
2024-01-25 19:44:13.312113,5.46,mm,-1197,-1163
2024-01-25 19:44:13.532719,5.43,mm,-1226,-1190
2024-01-25 19:44:13.849799,5.38,mm,-1255,-1218
2024-01-25 19:44:13.929366,5.34,mm,-1278,-1241
2024-01-25 19:44:14.232049,5.27,mm,-1326,-1288
2024-01-25 19:44:14.418631,5.20,mm,-1327,-1289
2024-01-25 19:44:14.865360,5.20,mm,-1403,-1359
2024-01-25 19:44:15.167045,5.10,mm,-1426,-1382
2024-01-25 19:44:15.278651,5.08,mm,-1451,-1404
2024-01-25 19:44:15.554354,5.05,mm,-1503,-1455
2024-01-25 19:44:15.657040,4.98,mm,-1512,-1464
2024-01-25 19:44:15.974816,4.94,mm,-1553,-1504
2024-01-25 19:44:16.244418,4.89,mm,-1625,-1572
2024-01-25 19:44:16.529916,4.80,mm,-1661,-1611
2024-01-25 19:44:16.672696,4.75,mm,-1713,-1655
2024-01-25 19:44:16.954922,4.69,mm,-1809,-1750
2024-01-25 19:44:17.170812,4.61,mm,-1909,-1844
2024-01-25 19:44:17.493908,4.48,mm,-1950,-1901
2024-01-25 19:44:17.834577,4.45,mm,-2106,-2034
2024-01-25 19:44:18.066645,4.33,mm,-2186,-2111
2024-01-25 19:44:18.131166,4.23,mm,-2193,-2118
